platform,video_id,video_topic,comment,like,reply_count,tanggal,clean_comment,comment_length,engagement_score
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,I love the squeaky whiteboard pens! :),0,0,2024-05-14T13:30:27Z,i love the squeaky whiteboard pens,34,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"You should add other types of diabetes in the future, particularly MODY and 3c. I suspect MODY is grossly underdiagnosed and thrown into the T2D or T1D types way too much!",0,0,2024-05-14T13:27:43Z,you should add other types of diabetes in the future particularly mody and c i suspect mody is grossly underdiagnosed and thrown into the td or td types way too much,165,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,White board was better brother!,1,0,2024-05-12T18:14:18Z,white board was better brother,30,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thankyou for these! You surely are a life saver. I love how easily these summary charts in your videos help me correlate it to a real life patient,0,0,2024-05-12T12:17:25Z,thankyou for these you surely are a life saver i love how easily these summary charts in your videos help me correlate it to a real life patient,144,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Love,0,0,2024-05-10T16:49:02Z,love,4,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Legend,0,0,2024-05-10T06:34:07Z,legend,6,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"thats cool but ... we want the board back :(( <a href=""http://www.youtube.com/results?search_query=%23oldschool"">#oldschool</a>",0,0,2024-05-09T22:04:29Z,thats cool but we want the board back oldschool,47,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Thanks. The content and your clear presenting skills are brilliant. Also appreciate the modern, digital diagrams. Much more easier to absorb the complex  info.",1,1,2024-05-08T19:41:59Z,thanks the content and your clear presenting skills are brilliant also appreciate the modern digital diagrams much more easier to absorb the complex info,153,2
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,You said it all👍,0,0,2024-06-02T15:15:39Z,you said it all,15,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"That&#39;s millions of times better than the board; the information is more organized here, and you&#39;re more at ease. Still, we have no complaints, as it&#39;s free.",238,4,2024-05-08T13:05:09Z,thats millions of times better than the board the information is more organized here and youre more at ease still we have no complaints as its free,147,242
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Very true,2,0,2024-11-20T09:58:42Z,very true,9,2
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"I feel like he is skimming in this format; theres none of the wonderful reiteration that makes the information stick so well.<br>Also, needs a different number font, Comic Sans is hard to differentiate numbers from letters.",12,0,2024-12-30T15:06:28Z,i feel like he is skimming in this format theres none of the wonderful reiteration that makes the information stick so wellalso needs a different number font comic sans is hard to differentiate numbers from letters,214,12
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"@RICDirector I hadn&#39;t really thought about it before, but it makes sense as so why I learn so well from his videos, I love the reiteration and summation, hearing 3 versions of varying detail before moving on really helps",4,0,2025-03-01T02:33:54Z,ricdirector i hadnt really thought about it before but it makes sense as so why i learn so well from his videos i love the reiteration and summation hearing versions of varying detail before moving on really helps,213,4
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Organized but not clear, some of us can barely see!",0,0,2025-04-08T03:42:03Z,organized but not clear some of us can barely see,49,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Best ninja 🥷,0,0,2024-05-08T06:45:09Z,best ninja,10,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Please pleeeaassseeee revert ti the whiteboard that is what make ur identity 🥺🥺🥺🥺🥺💔💔,78,2,2024-05-07T15:27:21Z,please pleeeaassseeee revert ti the whiteboard that is what make ur identity,76,80
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,True😢,0,0,2024-08-23T04:35:37Z,true,4,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,it saves a lot of time and his energy 😒😒 plus he can deliver a lot of useful stuff in a short span . what stupidity is this revert to whiteboard we r fan of his concepts abd the way he explains it we all r medicos including him not picassos 🫠🫠 no offence though . Keep up the great wprk Zach love you❤❤,5,0,2025-02-12T09:26:09Z,it saves a lot of time and his energy plus he can deliver a lot of useful stuff in a short span what stupidity is this revert to whiteboard we r fan of his concepts abd the way he explains it we all r medicos including him not picassos no offence though keep up the great wprk zach love you,290,5
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thankyou sir❤<br>New method is superb ❤,0,0,2024-05-07T15:26:44Z,thankyou sirnew method is superb,32,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,thanks,0,0,2024-05-06T18:01:56Z,thanks,6,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,love u,0,0,2024-05-06T18:01:46Z,love u,6,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,This is a great video! Please consider doing a DKA and HHNS video! This would be extremely helpful as a new endocrine APN,2,0,2024-05-06T02:59:25Z,this is a great video please consider doing a dka and hhns video this would be extremely helpful as a new endocrine apn,119,2
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Please let’s reverse back to the use of our white board learning module this would give us the real classroom room learning experience, something that really marked different than any other learning platforms( if so less) 😢 .",0,0,2024-05-05T13:06:43Z,please lets reverse back to the use of our white board learning module this would give us the real classroom room learning experience something that really marked different than any other learning platforms if so less,217,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,thanks ninja 😊,0,0,2024-05-05T12:50:49Z,thanks ninja,12,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Great ❤...,0,0,2024-05-05T05:32:03Z,great,5,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Sir this method isn’t working like your previous method on white board sir please revert back to whiteboard plzzzzzzzzzz,0,0,2024-05-02T12:57:57Z,sir this method isnt working like your previous method on white board sir please revert back to whiteboard plzzzzzzzzzz,119,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"What about later stages of T2 diabetes where insulin production by the body is greatly decreased (or completely gone) and insensitivity is increased. For instance, what if someone came to the ER due to dizzy spells and an inability to walk short distances without fainting but previous to that hadent seen a doctor for over a decade. Would their T2 diabetes have progressed far enough to warrant lipolysis and ketone bodies in the blood since glucose wouldent be a viable source of energy anymore. Would we then see symptoms of DKA in T2 diabetics similarly to T1 diabetics? My thought process is that there would be protein and glucose loss through glomerular damage which would pull water from the system. Patient becomes dehydrated and begins exhibiting orthostatic tachycardia and only visits the ER when the issues become prevalent enough.",0,0,2024-05-02T07:03:23Z,what about later stages of t diabetes where insulin production by the body is greatly decreased or completely gone and insensitivity is increased for instance what if someone came to the er due to dizzy spells and an inability to walk short distances without fainting but previous to that hadent seen a doctor for over a decade would their t diabetes have progressed far enough to warrant lipolysis and ketone bodies in the blood since glucose wouldent be a viable source of energy anymore would we then see symptoms of dka in t diabetics similarly to t diabetics my thought process is that there would be protein and glucose loss through glomerular damage which would pull water from the system patient becomes dehydrated and begins exhibiting orthostatic tachycardia and only visits the er when the issues become prevalent enough,831,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thanks!,1,0,2024-05-01T19:04:20Z,thanks,6,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Very helpful. Thank you,0,0,2024-04-30T15:25:48Z,very helpful thank you,22,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"<a href=""https://www.youtube.com/watch?v=rh8ycjPCj18&amp;t=531"">8:51</a>",0,0,2024-04-29T17:37:28Z,,0,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,❤❤,1,0,2024-04-28T17:14:39Z,,0,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Can anyone please give me pdf of this class!?,7,0,2024-04-27T16:34:55Z,can anyone please give me pdf of this class,43,7
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Where is Old DKA video 👀💔,0,0,2024-04-22T22:25:06Z,where is old dka video,22,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Sir,You didn&#39;t include 1.5KPD and 1.5 LADA",0,0,2024-04-22T18:08:18Z,siryou didnt include kpd and lada,33,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Where is the dka vs hhs video? Once watched but not seeing it anymore,5,0,2024-04-22T08:23:15Z,where is the dka vs hhs video once watched but not seeing it anymore,68,5
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Please turn to whiteboard,this format is boring",2,2,2024-04-21T07:59:46Z,please turn to whiteboardthis format is boring,46,4
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Please be appreciative for the time, effort and costs of a thoughtful and generous teaching presentation.",1,0,2024-04-30T14:27:24Z,please be appreciative for the time effort and costs of a thoughtful and generous teaching presentation,103,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,​@charmondkingren2105I get you but white board is the best,0,0,2024-12-27T14:18:32Z,charmondkingreni get you but white board is the best,52,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thank you very much!,1,0,2024-04-19T20:09:17Z,thank you very much,19,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"This clinical medicine lectures are Awesome,keep them coming,,Thank you",3,0,2024-04-19T15:44:02Z,this clinical medicine lectures are awesomekeep them comingthank you,68,3
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Honestly AMAZING!! LOVING this new series - thank you so so much :)),1,0,2024-04-18T09:39:46Z,honestly amazing loving this new series thank you so so much,60,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,I absolutely love your videos. You aid me in actually understanding the foundation to things.,5,0,2024-04-17T16:25:17Z,i absolutely love your videos you aid me in actually understanding the foundation to things,91,5
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Great work ❤,1,0,2024-04-15T22:48:48Z,great work,10,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,God bless you,1,0,2024-04-15T20:51:51Z,god bless you,13,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,YOOU ARE LİFE SAVIOR,2,0,2024-04-14T13:12:21Z,yoou are life savior,20,2
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Also the levels of sorbitol increase due to a dysfunction of the enzyme SORBITOL DEHYDROGENASE, which converts sorbitol to fructose.",1,0,2024-04-11T09:24:20Z,also the levels of sorbitol increase due to a dysfunction of the enzyme sorbitol dehydrogenase which converts sorbitol to fructose,130,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Im from kurdistan and i want to say thank you sooo much for your detail information ,Im in dental collage  🦷 and needed your information to understand .✨✨🙌🏼",3,0,2024-04-09T09:15:51Z,im from kurdistan and i want to say thank you sooo much for your detail information im in dental collage and needed your information to understand,146,3
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Zach if u don’t mind …<br>I want to enter your brain to see how he made any topic easy &amp; digestible to be understood<br>Thanks 👏🏻,173,1,2024-04-06T22:33:20Z,zach if u dont mind i want to enter your brain to see how he made any topic easy amp digestible to be understoodthanks,118,174
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,😮​@T.J.1033,0,0,2025-01-04T14:33:15Z,tj,2,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Chalk and talk is better not this,0,0,2024-04-03T07:46:12Z,chalk and talk is better not this,33,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Please revert back to the original whiteboard    Easy to get bored with thus this format.,565,16,2024-04-03T07:10:12Z,please revert back to the original whiteboard easy to get bored with thus this format,85,581
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Yes please,8,0,2024-04-26T02:38:28Z,yes please,10,8
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,I agree,10,0,2024-04-26T03:06:36Z,i agree,7,10
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,PLEASE 🙏,7,0,2024-04-29T20:06:57Z,please,6,7
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Pls sir,5,0,2024-05-01T10:42:37Z,pls sir,7,5
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"No! This format is clearer, only that it should be larger, as we don&#39;t see anything.",25,0,2024-05-11T14:40:08Z,no this format is clearer only that it should be larger as we dont see anything,79,25
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,The best always! Thank you!,1,0,2024-03-29T00:32:45Z,the best always thank you,25,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,In DKA even if the AG is closed don&#39;t you want to continue the ins gtt until the BG&#39;s are stable for 24hrs or ar least 3 BG&#39;s &lt;180 before switchiing to BB insulin?,0,0,2024-03-28T15:04:48Z,in dka even if the ag is closed dont you want to continue the ins gtt until the bgs are stable for hrs or ar least bgs lt before switchiing to bb insulin,153,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"A1c must be &gt; 6.5 to establish diabetes?  🤔<br><br>How many eyes,  feet, kidneys, etc., would be put at risk by this high bar?",1,0,2024-03-26T14:31:26Z,ac must be gt to establish diabetes how many eyes feet kidneys etc would be put at risk by this high bar,104,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Make a playlist with all the clinical videos please,2,0,2024-03-23T19:13:05Z,make a playlist with all the clinical videos please,51,2
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thank youuu🎉 I like the clinical med videos so much,1,0,2024-03-23T18:55:38Z,thank youuu i like the clinical med videos so much,50,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,marry me🥹🤎,1,0,2024-03-22T18:10:59Z,marry me,8,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Will there be notes posted soon for this?,1,0,2024-03-22T07:19:55Z,will there be notes posted soon for this,40,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Hey! i would love to see a DKA vs HHS video please! I am studying for my PCCN. i  love watching your videos because i can actually understand the &quot;why&quot; behind things. thanks for all your time put into these videos!,11,1,2024-03-20T19:26:27Z,hey i would love to see a dka vs hhs video please i am studying for my pccn i love watching your videos because i can actually understand the quotwhyquot behind things thanks for all your time put into these videos,214,12
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,He has one video published long time ago when i was still in med school.,3,0,2024-06-11T07:42:38Z,he has one video published long time ago when i was still in med school,71,3
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Süper,0,0,2024-03-20T10:12:36Z,süper,5,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,This is an awesome video. Very helpful and understandable. I just want to say that I prefer the board videos where you explain more detailly. But you are the best ❤,38,0,2024-03-19T21:52:58Z,this is an awesome video very helpful and understandable i just want to say that i prefer the board videos where you explain more detailly but you are the best,159,38
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"ZACH, please make more of the &quot;study case&quot; playlist!<br>IT&#39;S UNDERSTANDABLE AND MAKE SENSE A LOT!<br>i&#39;m looking forward to see more of the playlist! <br>Keep it up, God bless you!",32,0,2024-03-18T12:32:22Z,zach please make more of the quotstudy casequot playlistits understandable and make sense a lotim looking forward to see more of the playlist keep it up god bless you,166,32
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thank you  so much,1,0,2024-03-17T16:29:56Z,thank you so much,17,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Like always great,1,0,2024-03-17T00:28:07Z,like always great,17,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,This really came at the right time ! Thank youuuu,2,0,2024-03-16T14:08:20Z,this really came at the right time thank youuuu,47,2
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,How many views does it have now?,1,2,2024-03-16T05:30:29Z,how many views does it have now,31,3
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,1.2k,0,0,2024-03-16T05:30:43Z,k,1,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,12k,0,0,2024-03-28T20:25:54Z,k,1,0
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"this is soo good, described everything from pathology to how it impacts everyday clinical scenarios. thank you a bunch",22,0,2024-03-16T02:04:54Z,this is soo good described everything from pathology to how it impacts everyday clinical scenarios thank you a bunch,116,22
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thanks for uploading 3 dyas before my exam,9,0,2024-03-15T19:03:45Z,thanks for uploading dyas before my exam,40,9
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thanks,1,0,2024-03-15T08:53:00Z,thanks,6,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,I can&#39;t see clinical medicine playlist? Sir,1,0,2024-03-15T05:01:57Z,i cant see clinical medicine playlist sir,41,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Oh just realized Zach renewed the diabetes video. That&#39;s cool!,1,0,2024-03-15T04:05:10Z,oh just realized zach renewed the diabetes video thats cool,59,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,❤❤❤❤,1,0,2024-03-14T10:53:34Z,,0,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Thanks a lot  for breaking it into digestible chunks!!,9,0,2024-03-13T19:39:27Z,thanks a lot for breaking it into digestible chunks,51,9
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Great video, thanks Ninja Nerd!",1,0,2024-03-13T03:16:18Z,great video thanks ninja nerd,29,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"<a href=""https://www.youtube.com/watch?v=rh8ycjPCj18&amp;t=477"">7:57</a> - Why can glucose not be utilised in diabetes? Surely the high glucose content in the blood doesnt require insulin to enter cells via facilitated diffusion using GLUT1 receptors? What is meant here by not being able to utilise carbohydrates?",2,2,2024-03-12T22:52:29Z,why can glucose not be utilised in diabetes surely the high glucose content in the blood doesnt require insulin to enter cells via facilitated diffusion using glut receptors what is meant here by not being able to utilise carbohydrates,235,4
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"I think that GLUT1 alone cannot provide enough glucose for some tissues to use, for example muscular tissue. That&#39;s why insulin reduction determines metabolic switch to lipolysis.",2,0,2024-03-25T18:35:20Z,i think that glut alone cannot provide enough glucose for some tissues to use for example muscular tissue thats why insulin reduction determines metabolic switch to lipolysis,174,2
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,"Because the insuline resistance , the receptor cannot be acctivated properly and GLUT molecules cannot go into the membrane",1,0,2024-04-16T10:14:54Z,because the insuline resistance the receptor cannot be acctivated properly and glut molecules cannot go into the membrane,121,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Look what I found! A fresh video! Thank you for your efforts!,23,0,2024-03-12T14:47:32Z,look what i found a fresh video thank you for your efforts,58,23
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,I&#39;m pratheesh from India (Tamil Nadu).big fan of you sir.say one hii sir..,36,2,2024-03-12T00:50:58Z,im pratheesh from india tamil nadubig fan of you sirsay one hii sir,67,38
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Why are you every where bro ?😂,9,0,2024-03-23T15:10:16Z,why are you every where bro,27,9
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,​@ok61😂😂😂😂😂😂😂😂😂09,1,0,2024-08-23T04:36:26Z,ok,2,1
youtube,rh8ycjPCj18,diabetes_mellitus_penjelasan_klinis,Look who comes back💥💥❤,1,0,2024-03-11T23:17:51Z,look who comes back,19,1
